product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEANS;4485210000178;126000000.0;BARCARENA;CHINA (MAINLAND)
SOYBEANS;4485210000178;63000000.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;4485210000178;185480346.0;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;4485210000178;732.01;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;4485210000178;122816032.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;4485210000178;74744434.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;4485210000178;24608289.0;VITORIA;CHINA (MAINLAND)
SOYBEANS;4485210000178;15032300.998046875;BARCARENA;EUROPEAN UNION
SOYBEANS;4485210000178;24000000.0;SANTOS;EUROPEAN UNION
SOYBEANS;4485210000178;13000000.0;SAO LUIS;EUROPEAN UNION
SOYBEANS;4485210000178;12000000.0;BARCARENA;ROMANIA
SOYBEANS;4485210000178;57975000.0;SANTOS;SINGAPORE
SOYBEANS;4485210000178;13400000.0;VITORIA;THAILAND
SOYBEANS;4485210000178;10614512.0;BARCARENA;TURKEY
SOYBEANS;4485210000178;3000000.0;SAO LUIS;TURKEY
SOYBEANS;4485210000178;22000000.0;SAO FRANCISCO DO SUL;VENEZUELA
SOYBEANS;4485210000178;9500000.0;SAO LUIS;VIETNAM
SOYBEANS;4485210000259;68380000.0;BARCARENA;SOUTH AFRICA
SOYBEANS;4485210000330;664254819.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;4485210000330;34419336.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;4485210000330;66000000.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;4485210000330;10969455.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;4485210000330;8000000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;4485210000330;6950633.0;VITORIA;CHINA (MAINLAND)
SOYBEANS;4485210000330;5000000.0;SAO LUIS;EUROPEAN UNION
SOYBEANS;4485210000330;12500000.0;PARANAGUA;INDONESIA
