level;cnpj8;tax_municipality;cnpj
4;75904383;BR-5005400;75904383020742
4;6315338;BR-2933307;6315338001433
4;2003402;BR-2101400;2003402006700
4;19036108;BR-4321105;19036108000162
4;3902252;BR-3550308;3902252001095
4;13009252;BR-3550308;13009252000123
4;19441249;BR-3518701;19441249000160
4;23150901;BR-3550308;23150901000165
4;25142875;BR-4106902;25142875000230
4;25142875;BR-3550308;25142875000159
4;21294708;BR-4118204;21294708000334
4;11092881;BR-5209101;11092881000134
4;14865724;BR-3506508;14865724000102
4;84046101;BR-1501303;84046101057705
4;26456135;BR-3550308;26456135000150
4;27182806;BR-3550308;27182806000102
4;47067525;BR-5107040;47067525010766
4;61079232;BR-3518701;61079232000686
4;60446929;BR-4103701;60446929000170
4;60498706;BR-4119905;60498706042747
4;78907771;BR-4106407;78907771002440
4;60498706;BR-4213609;60498706037158
4;84046101;BR-5107040;84046101055761
4;3209087;BR-4118204;3209087000876
4;84046101;BR-2100808;84046101055508
4;16712996;BR-4303509;16712996000106
4;60498706;BR-3518701;60498706000904
4;84046101;BR-4204202;84046101000355
4;4485210;BR-5107040;4485210002383
4;4485210;BR-5107925;4485210000259
4;4485210;BR-2919553;4485210000763
4;5492968;BR-5102702;5492968000953
4;5492968;BR-4306106;5492968000287
4;7903169;BR-4114807;7903169001687
4;7903169;BR-4113700;7903169001504
4;6855894;BR-2101400;6855894000340
4;6315338;BR-4119905;6315338003053
4;6315338;BR-4113700;6315338000542
4;2290510;BR-4113700;2290510000176
4;2003402;BR-1505502;2003402011290
4;2003402;BR-1501303;2003402009989
4;2003402;BR-2909307;2003402004839
4;2003402;BR-4316907;2003402003514
4;91385013;BR-4322301;91385013000181
4;84046101;BR-3205309;84046101015034
5;77752293;BR-4125704;77752293008687
5;47067525;BR-3548500;47067525000612
5;60498706;BR-3550308;60498706011515
5;80671;BR-3548500;80671001181
5;77752293;BR-3550308;77752293008091
5;61297784;BR-3515004;61297784000318
5;83054478;BR-4203006;83054478000121
5;61079232;BR-3549904;61079232000503
5;77863223;BR-3550308;77863223007705
5;76082320;BR-4118204;76082320001414
5;11122853;BR-3530508;11122853000112
5;15527906;BR-4119905;15527906003313
5;77752293;BR-3550308;77752293006129
5;77752293;BR-4123501;77752293007010
5;77752293;BR-4105300;77752293001160
5;60498706;BR-3555604;60498706001048
5;88320536;BR-4310108;88320536000135
5;58551243;BR-2611101;58551243000106
5;76840537;BR-4208906;76840537000121
5;2003402;BR-3548500;2003402000760
5;77752293;BR-4125704;77752293000279
5;5289245;BR-4208203;5289245000366
5;77752293;BR-4115804;77752293000198
5;65538209;BR-3515707;65538209000159
5;92791243;BR-3520509;92791243002157
5;2198775;BR-3550308;2198775000149
5;52717659;BR-3506508;52717659000167
5;62807599;BR-3550308;62807599000127
5;79114450;BR-4115200;79114450015197
5;18364705;BR-4208203;18364705000153
5;3937452;BR-5205000;3937452000192
5;6315338;BR-3551306;6315338002324
5;75904383;BR-4118204;75904383006405
5;84046101;BR-2927408;84046101046347
5;1961898;BR-3522604;1961898000127
5;47067525;BR-4118204;47067525009911
5;84046101;BR-3550308;84046101033873
5;33255787;BR-3301702;33255787000191
5;60498706;BR-2919553;60498706021740
5;62145008;BR-4125506;62145008000608
5;60498706;BR-2913606;60498706002524
5;84046101;BR-2930709;84046101038166
5;4470137;BR-3550308;4470137000160
5;44209336;BR-3550308;44209336000134
5;32450692;BR-3548500;32450692000166
5;969790;BR-3103504;969790001602
5;84046101;BR-3550308;84046101037194
5;76093731;BR-4103453;76093731000786
5;77890846;BR-4109401;77890846003941
5;77752293;BR-4123501;77752293007281
5;4749583;BR-4124020;4749583000109
5;91362590;BR-4314902;91362590004900
5;76093731;BR-4116703;76093731003025
5;15527906;BR-3548500;15527906003747
5;831373;BR-3529302;831373000295
5;15527906;BR-3524303;15527906003402
5;9412398;BR-3550308;9412398000148
5;77752293;BR-4104808;77752293014229
5;15494525;BR-2611101;15494525000106
5;77890846;BR-4109401;77890846000764
5;47067525;BR-3506102;47067525005258
5;53359824;BR-3552809;53359824000461
5;77752293;BR-4115606;77752293006048
